,occupation
45316,0
45976,
46845,7
47757,
48330,0
48351,
48394,1
48747,12
48764,26
48873,0
49009,11
49141,12
49192,8
49205,0
49298,0
49384,1
49438,
49627,-1
49698,12
49839,0
49863,15
50496,13
50553,-1
50762,1
50824,22
50830,1
50858,0
50884,8
51226,13
52031,0
52124,13
52432,0
84,18
138,0
260,0
1105,7
1116,0
1292,
1415,6
1421,
1478,6
1587,0
1722,1
2130,1
2141,0
2353,7
2384,7
2394,0
2513,
2651,2
2659,7
2679,12
2693,
2703,
2726,0
2745,
2747,-1
2790,7
2816,8
2855,0
2886,0
2981,22
2987,
3000,
3016,6
3022,0
3024,7
3056,18
3077,7
3093,8
3096,0
3098,0
3115,24
3120,6
3132,
3200,1
3259,13
3338,1
3345,0
3371,0
3377,
3410,
3430,2
3437,
3439,
3446,7
3533,
3538,0
3544,1
3549,1
3550,20
3553,21
3580,
3642,0
3662,7
3680,
3706,2
3715,0
3724,15
3754,0
3773,0
3789,1
3790,7
3796,
3839,17
3934,1
4100,21
4138,0
4214,7
4236,13
4242,
4262,0
4284,23
4301,0
4314,9
4339,7
4345,7
4357,18
4368,7
4376,1
4385,4
4391,0
4405,14
4419,
4437,0
4442,12
4471,26
4526,6
4530,0
4540,4
4541,7
4552,7
4589,21
4620,7
4677,0
4706,7
4734,14
4735,0
4740,16
4795,
4814,
4926,
4933,
4947,15
4959,4
4968,13
4995,
5029,0
5064,15
5261,7
5281,0
5291,1
5305,-1
5376,4
5395,0
5407,6
5416,6
5444,13
5465,-1
5491,5
5512,0
5974,0
5982,
6069,4
6101,7
6112,
6285,0
6375,0
6379,
6554,13
6615,1
6661,12
6682,
6706,0
6778,
6892,0
6974,
6985,23
7051,13
7078,12
7176,0
7177,23
7257,
7291,2
7308,
7443,0
7448,7
7475,18
7719,6
7802,22
7852,
7920,2
7935,0
7959,14
8191,7
8207,7
8255,7
8295,26
8360,7
8595,
8618,13
8765,0
8820,26
8825,
8898,6
8938,7
8968,23
9017,1
9069,6
9134,-1
9144,0
9158,
9179,8
9208,
9226,0
9239,
9240,0
9256,6
9264,
9266,15
